State,Seconds
AL,232
AK,238
AZ,238
AR,232
CA,238
CO,238
CT,220
DE,232
DC,232
FL,232
GA,232
HI,238
ID,238
IL,239
IN,239
IA,239
KS,239
KY,232
LA,232
ME,220
MD,232
MA,220
MI,239
MN,239
MS,232
MO,239
MT,238
NE,239
NV,238
NH,220
NJ,220
NM,238
NY,220
NC,232
ND,239
OH,239
OK,232
OR,238
PA,220
RI,220
SC,232
SD,239
TN,232
TX,232
UT,238
VT,220
VA,232
WA,238
WV,232
WI,239
WY,238
