State,Seconds
AL,280
AZ,236
CA,229
CO,296
CT,245
DE,160
DC,130
FL,256
GA,211
HI,280
ID,185
IL,255
IN,172
IA,283
KS,286
KY,143
LA,222
ME,195
MD,218
MA,221
MI,216
MN,233
MS,302
MO,224
MT,216
NE,132
NV,86
NH,277
NJ,210
NM,167
NY,210
NC,208
OH,253
OK,267
OR,340
PA,238
RI,257
SC,222
TN,137
TX,261
UT,210
VT,349
VA,229
WA,266
WV,282
WI,275.5
